,R_nm,wavelength_nm,abs
4447,32.5,398.6715363140849,0.5543657761529438
4448,32.5,401.0908559953435,0.546641511685156
4449,32.5,403.5248572055977,0.540173854699463
4450,32.5,405.97362903902393,0.5348876211808565
4451,32.5,408.4372611304615,0.530698766133062
4452,32.5,410.9158436586954,0.5275110424707485
4453,32.5,413.4094673497567,0.5252352047471673
4454,32.5,415.91822348024186,0.523840476618768
4455,32.5,418.4422038806563,0.5230239996804671
4456,32.5,420.9815009387745,0.5226314827284093
4457,32.5,423.53620760302096,0.5224943140871967
4458,32.5,426.1064173858746,0.5224388070679261
4459,32.5,428.69222436728916,0.5222861232485861
4460,32.5,431.2937231981393,0.521869941395219
4461,32.5,433.91100910368397,0.521022765267774
4462,32.5,436.5441778870512,0.5196144440042864
4463,32.5,439.193325932747,0.5175615878286928
4464,32.5,441.8585502101821,0.5148150560226564
4465,32.5,444.5399482772207,0.5113572334951565
4466,32.5,447.2376182837536,0.5072041981498034
4467,32.5,449.95165897528835,0.5023875778950253
4468,32.5,452.68216969656606,0.49694674535748345
4469,32.5,455.42925039519685,0.49095286797801707
4470,32.5,458.193001625317,0.4844556251202116
4471,32.5,460.97352455127213,0.47749885459111946
4472,32.5,463.77092095131906,0.4701187895625284
4473,32.5,466.58529322134984,0.4623500944796143
4474,32.5,469.4167443786431,0.45422828541079496
4475,32.5,472.2653780656311,0.44582042513973624
4476,32.5,475.1312985536969,0.4372090171101315
4477,32.5,478.0146107469895,0.42841400430791476
4478,32.5,480.91542018626245,0.4195009314866007
4479,32.5,483.8338330527399,0.41054054903043047
4480,32.5,486.7699561720018,0.4016063665696681
4481,32.5,489.72389701789285,0.39277154671398856
4482,32.5,492.695763716459,0.3841045217642308
4483,32.5,495.68566504990423,0.3756666920519417
4484,32.5,498.6937104605708,0.3676269174657553
4485,32.5,501.72001005494866,0.35990597805593855
4486,32.5,504.7646746077019,0.3525300860681606
4487,32.5,507.8278155657271,0.3455148997846966
4488,32.5,510.90954505223095,0.33886691778249056
4489,32.5,514.0099758708333,0.33258490317187406
4490,32.5,517.1292215096994,0.3266621817156631
4491,32.5,520.2673961456901,0.3210852942519325
4492,32.5,523.424614648545,0.315890218993984
4493,32.5,526.6009925850851,0.31101009595513146
4494,32.5,529.7966462234419,0.3064208558668793
4495,32.5,533.0116925373161,0.30210816791561595
4496,32.5,536.2462492102579,0.2980601526717158
4497,32.5,539.5004346399732,0.29426690922706095
4498,32.5,542.7743679426601,0.290721127770639
4499,32.5,546.0681689573681,0.28741852708237425
4500,32.5,549.3819582503829,0.2843563311698421
4501,32.5,552.7158571196431,0.2815322683251788
4502,32.5,556.069987599176,0.27894564579923625
4503,32.5,559.4444724635682,0.27659911549961624
4504,32.5,562.8394352324586,0.2744932373348419
4505,32.5,566.2550001750573,0.2726300499941607
4506,32.5,569.6912923146986,0.2710095710594181
4507,32.5,573.1484374334129,0.2696323088279099
4508,32.5,576.6265620765347,0.26849559729373884
4509,32.5,580.1257935573325,0.26759656829840445
4510,32.5,583.6462599616696,0.2669587308332555
4511,32.5,587.1880901526913,0.2665749612542822
4512,32.5,590.7514137755447,0.2664100676668522
4513,32.5,594.3363612621206,0.26645065344346297
4514,32.5,597.9430638358309,0.26668271315563313
4515,32.5,601.571653516411,0.2670870885152856
4516,32.5,605.2222631247502,0.2676439497171256
4517,32.5,608.8950262877571,0.26832885295080877
4518,32.5,612.5900774432474,0.2691159416291466
4519,32.5,616.3075518448675,0.26997557279740203
4520,32.5,620.0475855670445,0.2712002762862101
4521,32.5,623.8103155099652,0.2724213752948673
4522,32.5,627.5958794045905,0.2735780662354072
4523,32.5,631.404415817695,0.27462843533260173
4524,32.5,635.2360641569381,0.2755276595954706
4525,32.5,639.0909646759693,0.2762374697670263
4526,32.5,642.9692584795611,0.27671743976528024
4527,32.5,646.8710875287719,0.2769364928290929
4528,32.5,650.7965946461469,0.2768675689984863
4529,32.5,654.7459235209403,0.27649223421318897
4530,32.5,658.7192187143802,0.27579986400007644
4531,32.5,662.7166256649574,0.27494732055708176
4532,32.5,666.7382906937478,0.2737574921497209
4533,32.5,670.7843610097724,0.27225654447441544
4534,32.5,674.8549847153807,0.27049927349942265
4535,32.5,678.9503108116764,0.26854633716216847
4536,32.5,683.0704892039695,0.26646056577109417
4537,32.5,687.2156707072613,0.26430028152801005
4538,32.5,691.3860070517692,0.2621257419012848
4539,32.5,695.5816508884778,0.25998975805556745
4540,32.5,699.8027557947258,0.25794114080211966
4541,32.5,704.0494762798305,0.2560214881280004
4542,32.5,708.3219677907417,0.2548270946121466
4543,32.5,712.62038671773,0.25390477576862597
4544,32.5,716.9448904001155,0.253233342611303
4545,32.5,721.2956371320223,0.25279145504727274
4546,32.5,725.6727861681769,0.25255814785205105
4547,32.5,730.0764977297355,0.2525093333969531
4548,32.5,734.5069330101472,0.252622052544835
4549,32.5,738.9642541810588,0.2528712502764174
4550,32.5,743.4486243982451,0.2532326915322212
4551,32.5,747.9602078075866,0.25368011771773424
4552,32.5,752.4991695510744,0.25418710723263277
4553,32.5,757.065675772857,0.2538731771048188
4554,32.5,761.659893625319,0.2516841632268845
4555,32.5,766.281991275204,0.24941039263472248
4556,32.5,770.9321379097647,0.24705355536828305
4557,32.5,775.6105037429613,0.2446193792768158
4558,32.5,780.3172600216895,0.24211001456089726
4559,32.5,785.0525790320463,0.23952999649827691
4560,32.5,789.816634105642,0.2368850619046276
4561,32.5,794.6095996259389,0.23417718211583965
4562,32.5,799.4316510346392,0.23141378625097817
4563,32.5,804.2829648381049,0.22859827716221995
4564,32.5,809.1637186138169,0.2257362590211159
4565,32.5,814.0740910168782,0.22283234475516087
4566,32.5,819.0142617865529,0.21989183310483162
4567,32.5,823.9844117528415,0.2167700091653264
4568,32.5,828.9847228431056,0.21359883453986991
4569,32.5,834.0153780887242,0.21046277758720278
4570,32.5,839.076561631792,0.20735979636333432
4571,32.5,844.1684587318638,0.2042882614448825
4572,32.5,849.2912557727309,0.2012461141175275
4573,32.5,854.4451402692479,0.19823295461692447
4574,32.5,859.6303008741947,0.19524626629118766
4575,32.5,864.8469273851798,0.19228411671486564
4576,32.5,870.0952107515922,0.18934456902757993
4577,32.5,875.3753430815856,0.186427115729992
4578,32.5,880.6875176491155,0.18352785700276852
4579,32.5,886.0319289010106,0.1806455119355965
4580,32.5,891.4087724640916,0.17777847996319257
4581,32.5,896.8182451523296,0.17659267592007197
4582,32.5,902.260544974055,0.17551984308590407
4583,32.5,907.7358711391995,0.17454025688540903
4584,32.5,913.2444240665931,0.1736620028191301
4585,32.5,918.7864053912986,0.17289572737584294
4586,32.5,924.362017971989,0.17225516328308627
4587,32.5,929.9714658983793,0.17175435689032115
4588,32.5,935.6149544986898,0.17140912717326282
4589,32.5,941.2926903471684,0.17123915454608885
4590,32.5,947.0048812716491,0.17126460702922894
4591,32.5,952.7517363611568,0.17150889273850475
4592,32.5,958.5334659735669,0.17199711598029588
4593,32.5,964.3502817432984,0.1727581457064154
4594,32.5,970.2023965890664,0.17382361615353895
4595,32.5,976.0900247216728,0.1752286502185962
4596,32.5,982.013381651848,0.1770125127859947
4597,32.5,987.9726841981374,0.18003010394982222
4598,32.5,993.9681504948426,0.18375164653790843
4599,32.5,999.9999999999998,0.18792483522286896
4600,33.75,299.99999999999994,1.247509543109381
4601,33.75,301.8205360510256,1.2536320437232669
4602,33.75,303.65211994042846,1.2602941768270963
4603,33.75,305.4948187115015,1.2666074032867556
4604,33.75,307.34869981438766,1.2716562256283472
4605,33.75,309.21383110854777,1.274488975403403
4606,33.75,311.090280865244,1.2742297264454945
4607,33.75,312.9781177700405,1.2701762762887057
4608,33.75,314.8774109253156,1.2619011962599305
4609,33.75,316.78822985279277,1.2493528576750723
4610,33.75,318.7106444960851,1.232787495542303
4611,33.75,320.6447252232542,1.2126986974829794
4612,33.75,322.590542829388,1.1897380124112007
4613,33.75,324.5481685391911,1.1645137991042473
4614,33.75,326.51767400959096,1.13761971771972
4615,33.75,328.4991313323629,1.1095980190978267
4616,33.75,330.49261303676684,1.0809459388917495
4617,33.75,332.49819209220385,1.0522565465582547
4618,33.75,334.5159419108865,1.0240015798870472
4619,33.75,336.5459363505251,0.9965599238778986
4620,33.75,338.5882497170328,0.9703396504598971
4621,33.75,340.64295676724487,0.9456838487656911
4622,33.75,342.710132711654,0.9228996719526578
4623,33.75,344.7898532171655,0.9023145643923175
4624,33.75,346.8821944098645,0.8837572623973112
4625,33.75,348.9872328778047,0.8671885412973294
4626,33.75,351.1050456738107,0.852492121666314
4627,33.75,353.235710318298,0.8394851713428405
4628,33.75,355.37930480211173,0.8280979378105627
4629,33.75,357.53590758938094,0.8179677653043957
4630,33.75,359.70559762038977,0.8087021166557697
4631,33.75,361.8884543144689,0.8000333196391286
4632,33.75,364.0845575729004,0.7917358521067294
4633,33.75,366.29398778184435,0.7836422562989439
4634,33.75,368.5168258152807,0.7757338450006528
4635,33.75,370.7531530379682,0.7680143233336928
4636,33.75,373.00305130842503,0.7603379936010318
4637,33.75,375.26660298192394,0.752717868485382
4638,33.75,377.54389091350566,0.7451518170633309
4639,33.75,379.8349984610141,0.7376097487935854
4640,33.75,382.1400094881463,0.7300852733118607
4641,33.75,384.4590083675211,0.7225178117716435
4642,33.75,386.7920799837703,0.7147041432282156
4643,33.75,389.1393097366425,0.7065660024336429
4644,33.75,391.50078354413176,0.6980617486297429
4645,33.75,393.87658784562177,0.6891983755831979
4646,33.75,396.2668096050482,0.6800363239434257
4647,33.75,398.6715363140849,0.6707823468695714
4648,33.75,401.0908559953435,0.6615454392678795
4649,33.75,403.5248572055977,0.6524287823365251
4650,33.75,405.97362903902393,0.6435984089800971
4651,33.75,408.4372611304615,0.6352089332626533
4652,33.75,410.9158436586954,0.6273933017821984
4653,33.75,413.4094673497567,0.6202761390672659
4654,33.75,415.91822348024186,0.6140349499023291
4655,33.75,418.4422038806563,0.6085368424187989
4656,33.75,420.9815009387745,0.6037584062242762
4657,33.75,423.53620760302096,0.599638352690251
4658,33.75,426.1064173858746,0.5960764523036347
4659,33.75,428.69222436728916,0.5929391270623496
4660,33.75,431.2937231981393,0.5900885886051187
4661,33.75,433.91100910368397,0.5873363775353121
4662,33.75,436.5441778870512,0.5844559564673035
4663,33.75,439.193325932747,0.58127721341993
4664,33.75,441.8585502101821,0.577648746675946
4665,33.75,444.5399482772207,0.5734498598416929
4666,33.75,447.2376182837536,0.568607555905831
4667,33.75,449.95165897528835,0.5630942730520958
4668,33.75,452.68216969656606,0.5569436315791576
4669,33.75,455.42925039519685,0.5502350495094229
4670,33.75,458.193001625317,0.5430704367421996
4671,33.75,460.97352455127213,0.5355758259864828
4672,33.75,463.77092095131906,0.5278813232091094
4673,33.75,466.58529322134984,0.520115869232686
4674,33.75,469.4167443786431,0.5123895672724437
4675,33.75,472.2653780656311,0.5048191719474148
4676,33.75,475.1312985536969,0.4974835188050366
4677,33.75,478.0146107469895,0.4903692956333174
4678,33.75,480.91542018626245,0.4834775098429292
4679,33.75,483.8338330527399,0.4767885691747057
4680,33.75,486.7699561720018,0.4702629488077677
4681,33.75,489.72389701789285,0.4638493727048006
4682,33.75,492.695763716459,0.4574886877179403
4683,33.75,495.68566504990423,0.4511202837618581
4684,33.75,498.6937104605708,0.44473677831140934
4685,33.75,501.72001005494866,0.4382507865642213
4686,33.75,504.7646746077019,0.4316329860239794
4687,33.75,507.8278155657271,0.4248695857958524
4688,33.75,510.90954505223095,0.417960259744947
4689,33.75,514.0099758708333,0.41091993018831696
4690,33.75,517.1292215096994,0.40377487622816244
4691,33.75,520.2673961456901,0.3965603690901685
4692,33.75,523.424614648545,0.389375580559831
4693,33.75,526.6009925850851,0.3822217429855526
4694,33.75,529.7966462234419,0.37513542945543243
4695,33.75,533.0116925373161,0.3681566400973295
4696,33.75,536.2462492102579,0.3613228585477729
4697,33.75,539.5004346399732,0.35466494169750207
4698,33.75,542.7743679426601,0.3482110267854117
4699,33.75,546.0681689573681,0.3419811420499946
4700,33.75,549.3819582503829,0.335997664357614
4701,33.75,552.7158571196431,0.33027640114540674
4702,33.75,556.069987599176,0.3248137307456874
4703,33.75,559.4444724635682,0.3196152794574712
4704,33.75,562.8394352324586,0.3146847282343592
4705,33.75,566.2550001750573,0.31002367812478343
4706,33.75,569.6912923146986,0.305635452410249
4707,33.75,573.1484374334129,0.3015195811529545
4708,33.75,576.6265620765347,0.2976774846475278
4709,33.75,580.1257935573325,0.29410903399948746
4710,33.75,583.6462599616696,0.2908280865512686
4711,33.75,587.1880901526913,0.28783775694573
4712,33.75,590.7514137755447,0.28512493970844954
4713,33.75,594.3363612621206,0.2826879826346481
4714,33.75,597.9430638358309,0.2805249576902168
4715,33.75,601.571653516411,0.27863056776862966
4716,33.75,605.2222631247502,0.2770009179014207
4717,33.75,608.8950262877571,0.2756284296291885
4718,33.75,612.5900774432474,0.27450643122261037
4719,33.75,616.3075518448675,0.2736255710129631
4720,33.75,620.0475855670445,0.27330400294037277
4721,33.75,623.8103155099652,0.2732232215406042
4722,33.75,627.5958794045905,0.27334510283334645
4723,33.75,631.404415817695,0.2736478630927048
4724,33.75,635.2360641569381,0.2741070201985375
4725,33.75,639.0909646759693,0.27469665631138457
4726,33.75,642.9692584795611,0.27538605922715903
4727,33.75,646.8710875287719,0.27614454457509024
4728,33.75,650.7965946461469,0.27693667771722963
4729,33.75,654.7459235209403,0.2777278335336315
4730,33.75,658.7192187143802,0.27848088503363266
4731,33.75,662.7166256649574,0.27973292745360545
4732,33.75,666.7382906937478,0.28081937955839514
4733,33.75,670.7843610097724,0.2816322369973418
4734,33.75,674.8549847153807,0.2821470553084361
4735,33.75,678.9503108116764,0.28234842414066075
4736,33.75,683.0704892039695,0.28223053810611937
4737,33.75,687.2156707072613,0.2817954284142848
4738,33.75,691.3860070517692,0.2810571836358871
4739,33.75,695.5816508884778,0.28003749041379605
4740,33.75,699.8027557947258,0.27876412544381246
4741,33.75,704.0494762798305,0.27727370101031945
4742,33.75,708.3219677907417,0.27567750913804195
4743,33.75,712.62038671773,0.2741024696987408
4744,33.75,716.9448904001155,0.2725874574579059
4745,33.75,721.2956371320223,0.27116016528793524
4746,33.75,725.6727861681769,0.2698438153519242
4747,33.75,730.0764977297355,0.2686538849914017
4748,33.75,734.5069330101472,0.26760178848023675
4749,33.75,738.9642541810588,0.26669155773774683
4750,33.75,743.4486243982451,0.2659261665745643
4751,33.75,747.9602078075866,0.2653018002509486
4752,33.75,752.4991695510744,0.2648137846686027
4753,33.75,757.065675772857,0.26389624845791737
4754,33.75,761.659893625319,0.26181791553939787
4755,33.75,766.281991275204,0.25971551791796804
4756,33.75,770.9321379097647,0.25758526868432785
4757,33.75,775.6105037429613,0.25542609654022097
4758,33.75,780.3172600216895,0.2532349927279865
4759,33.75,785.0525790320463,0.25101055705549113
4760,33.75,789.816634105642,0.24875265348341868
4761,33.75,794.6095996259389,0.2464579438548855
4762,33.75,799.4316510346392,0.2441286878936867
4763,33.75,804.2829648381049,0.24176345175827738
4764,33.75,809.1637186138169,0.2393631919266263
4765,33.75,814.0740910168782,0.23692822693655113
4766,33.75,819.0142617865529,0.2344594876707878
4767,33.75,823.9844117528415,0.23122661246474027
4768,33.75,828.9847228431056,0.22765889358993813
4769,33.75,834.0153780887242,0.22413002243826546
4770,33.75,839.076561631792,0.22063759444798442
4771,33.75,844.1684587318638,0.21718180945174012
4772,33.75,849.2912557727309,0.21376068303898405
4773,33.75,854.4451402692479,0.21037508744231082
4774,33.75,859.6303008741947,0.20702331814209493
4775,33.75,864.8469273851798,0.2037040625628341
4776,33.75,870.0952107515922,0.20041714045494213
4777,33.75,875.3753430815856,0.19716188806256282
